running_id,participant_id,code,payoff,tr,PQ1,PQ2,PQ3,PQ4,PQ6,PQ7,PQ8,PQ9,PQ10,IMC,age,gender,education,work_status,comp_skill,forecasting_skill,similar_exp,time_inst,time_total,tinst_ttot,a,b,running_id,page,round,test_round,AI_forecast,human_forecast,selected_forecast,select_human,selected_quant,guidance_followed,pos_dir,large_mag,sort,sort_num,demand,adjustment,value,min_devtomean,dev_to_mean,h_AI_samedev,closer_to_mean,h_closer_tomean,adj_vs_mean,adj_vs_AI,earlier_rounds,later_rounds,directly_after_feedback
1,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,1,0,a,1,11,17,AI,0,11,1,1,1,D<AI<H,1,10,6,0,1,1,0,1,0,0.6,0.545454545,0,0,0
2,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,2,0,b,1,15,12,Human,1,12,1,0,0,D<H<AI,2,7,-3,1,2,2,0,1,1,0.3,0.2,0,0,0
3,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,3,0,c,1,9,11,AI,0,9,1,1,0,AI<D<H,3,12,2,1,1,1,1,0,0,0.2,0.222222222,0,0,0
4,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,4,0,d,1,17,11,Human,1,11,1,0,1,D<H<AI,2,15,-6,0,1,1,0,1,1,0.6,0.352941176,0,0,0
5,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,5,0,e,1,10,13,AI,0,10,1,1,0,D=AI<H,4,7,3,0,0,0,0,1,0,0.3,0.3,0,0,0
6,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,6,0,f,1,17,10,Human,1,10,1,0,1,D=H<AI,5,11,-7,1,0,0,0,1,1,0.7,0.411764706,0,0,0
7,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,7,0,g,1,12,18,AI,0,12,1,1,1,D<AI<H,1,16,6,1,2,2,0,1,0,0.6,0.5,0,0,0
8,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,8,0,h,1,10,9,Human,1,9,1,0,0,H<D=AI,6,15,-1,0,0,1,0,0,0,0.1,0.1,0,0,0
9,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,9,1,1,0,8,4,AI,0,8,0,0,0,H<AI<D,7,5,-4,1,2,2,0,1,0,0.4,0.5,1,0,1
10,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,10,1,2,0,15,9,Human,1,9,1,0,1,H<D<AI,8,11,-6,1,1,1,0,1,1,0.6,0.4,1,0,0
11,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,11,1,3,0,7,10,Human,1,10,0,1,0,AI<D=H,9,8,3,0,0,0,0,1,1,0.3,0.428571429,1,0,0
12,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,12,1,4,0,14,24,AI,0,14,1,1,1,D<AI<H,1,15,10,0,4,4,0,1,0,1,0.714285714,1,0,0
13,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,13,1,5,0,7,4,AI,0,7,0,0,0,H<AI<D,7,6,-3,0,3,3,0,1,0,0.3,0.428571429,1,0,0
14,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,14,1,6,0,13,19,AI,0,13,1,1,1,D<AI<H,1,5,6,0,3,3,0,1,0,0.6,0.461538462,1,0,0
15,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,15,1,7,0,6,14,AI,0,6,1,1,1,AI<D<H,3,17,8,1,4,4,1,0,0,0.8,1.333333333,1,0,0
16,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,16,1,8,0,26,17,Human,1,17,1,0,1,D<H<AI,2,10,-9,1,7,7,0,1,1,0.9,0.346153846,1,0,0
17,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,17,2,9,0,12,8,Human,1,8,1,0,0,H<D<AI,8,17,-4,0,2,2,1,0,0,0.4,0.333333333,0,0,1
18,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,18,2,10,0,18,26,AI,0,18,1,1,1,D<AI<H,1,10,8,0,8,8,0,1,0,0.8,0.444444444,0,0,0
19,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,19,2,11,0,17,14,Human,1,14,1,0,0,D<H<AI,2,10,-3,1,4,4,0,1,1,0.3,0.176470588,0,0,0
20,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,20,2,12,0,10,8,Human,1,8,1,0,0,H<D=AI,6,4,-2,1,0,2,0,0,0,0.2,0.2,0,0,0
21,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,21,2,13,0,14,17,AI,0,14,1,1,0,D<AI<H,1,10,3,0,4,4,0,1,0,0.3,0.214285714,0,0,0
22,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,22,2,14,0,9,16,AI,0,9,1,1,1,AI<D<H,3,6,7,0,1,1,0,1,0,0.7,0.777777778,0,0,0
23,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,23,2,15,0,14,11,Human,1,11,1,0,0,D<H<AI,2,13,-3,0,1,1,0,1,1,0.3,0.214285714,0,0,0
24,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,24,2,16,0,4,7,AI,0,4,1,1,0,AI<H<D,10,6,3,1,3,6,0,0,1,0.3,0.75,0,0,0
25,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,25,3,17,0,13,4,AI,0,13,0,0,1,H<D<AI,8,7,-9,1,3,3,0,1,0,0.9,0.692307692,0,0,1
26,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,26,3,18,0,5,9,Human,1,9,0,1,0,AI<H<D,10,6,4,0,1,1,0,1,1,0.4,0.8,0,0,0
27,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,27,3,19,0,8,12,AI,0,8,1,1,0,AI<D<H,3,5,4,0,2,2,1,0,0,0.4,0.5,0,0,0
28,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,28,3,20,0,14,7,Human,1,7,1,0,1,H<D<AI,8,9,-7,1,3,3,0,1,1,0.7,0.5,0,0,0
29,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,29,3,21,0,12,21,AI,0,12,1,1,1,D<AI<H,1,10,9,0,2,2,0,1,0,0.9,0.75,0,0,0
30,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,30,3,22,0,11,8,Human,1,8,1,0,0,H<D<AI,8,12,-3,0,1,2,0,0,0,0.3,0.272727273,0,0,0
31,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,31,3,23,0,24,17,Human,1,17,1,0,1,D<H<AI,2,14,-7,1,7,7,0,1,1,0.7,0.291666667,0,0,0
32,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,32,3,24,0,16,3,AI,0,16,0,0,1,H<D<AI,8,5,-13,1,6,6,0,1,0,1.3,0.8125,0,0,0
33,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,33,4,25,0,10,14,AI,0,10,1,1,0,D=AI<H,4,13,4,1,0,0,0,1,0,0.4,0.4,0,0,1
34,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,34,4,26,0,10,3,Human,1,3,1,0,1,H<D=AI,6,9,-7,0,0,7,0,0,0,0.7,0.7,0,0,0
35,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,35,4,27,0,1,9,AI,0,1,1,1,1,AI<H<D,10,10,8,1,1,9,0,0,1,0.8,8,0,0,0
36,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,36,4,28,0,14,13,Human,1,13,1,0,0,D<H<AI,2,20,-1,0,3,3,0,1,1,0.1,0.071428571,0,0,0
37,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,37,4,29,0,12,9,Human,1,9,1,0,0,H<D<AI,8,10,-3,1,1,1,0,1,1,0.3,0.25,0,0,0
38,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,38,4,30,0,14,16,AI,0,14,1,1,0,D<AI<H,1,10,2,0,4,4,0,1,0,0.2,0.142857143,0,0,0
